date,username,created_at,tweet
18-03-2021,amanda_mental,2021-03-18 21:59:02 India Standard Time,i am worthless im a horrible person
18-03-2021,amanda_mental,2021-03-18 08:44:03 India Standard Time,im open to new stuff so whats your fav
18-03-2021,amanda_mental,2021-03-18 08:35:19 India Standard Time,dyed my hair pink
18-03-2021,amanda_mental,2021-03-18 08:34:57 India Standard Time,i want new music any suggestions
18-03-2021,amanda_mental,2021-03-18 08:25:42 India Standard Time,me in target earlier
17-03-2021,amanda_mental,2021-03-17 05:48:47 India Standard Time,wish i had friends
17-03-2021,amanda_mental,2021-03-17 05:41:57 India Standard Time,this is such a long depressive episode can i go back to being maniac yet bipolar
17-03-2021,amanda_mental,2021-03-17 03:36:28 India Standard Time,dont feel like interacting today sorry yall
15-03-2021,amanda_mental,2021-03-15 09:19:15 India Standard Time,
15-03-2021,amanda_mental,2021-03-15 08:59:32 India Standard Time,just now
15-03-2021,amanda_mental,2021-03-15 05:23:36 India Standard Time,i think about this daily bpd bipolar depression paranoia
15-03-2021,amanda_mental,2021-03-15 05:10:00 India Standard Time,great way to not make any friends
15-03-2021,amanda_mental,2021-03-15 00:01:12 India Standard Time,these portion sizes in america are crazy no wonder we are obese
14-03-2021,amanda_mental,2021-03-14 08:03:20 India Standard Time,we do have big hearts bpdchat bpd borderlinepersonalitydisorder mentalhealthmatters
14-03-2021,amanda_mental,2021-03-14 08:02:00 India Standard Time,or anything tbh
14-03-2021,amanda_mental,2021-03-14 07:58:51 India Standard Time,except yes suicidal shit bpd bipolar
14-03-2021,amanda_mental,2021-03-14 07:45:43 India Standard Time,getting a new tattoo on the th
14-03-2021,amanda_mental,2021-03-14 07:13:18 India Standard Time,thank you
14-03-2021,amanda_mental,2021-03-14 07:03:10 India Standard Time,the random moment i feel like im gonna burst into tears bipolar bipolarchat
14-03-2021,amanda_mental,2021-03-14 04:47:59 India Standard Time,this headache feels like im dying
14-03-2021,amanda_mental,2021-03-14 03:13:30 India Standard Time,more sex what
12-03-2021,amanda_mental,2021-03-12 23:38:10 India Standard Time,tms consult went well hoping insurance will approve it
12-03-2021,amanda_mental,2021-03-12 10:12:02 India Standard Time,have a consult for tms tomorrow hopefully they accept me even with my diagnoses other than depression bpd bipolar
11-03-2021,amanda_mental,2021-03-11 22:48:18 India Standard Time,why am i deserving of love love bpdchat bipolarclub bipolar
11-03-2021,amanda_mental,2021-03-11 04:46:15 India Standard Time,can we make it illegal for teachers to call on random students like if i knew the answer ill call it out school
10-03-2021,amanda_mental,2021-03-10 06:41:35 India Standard Time,where are my feelings  i no longer feel things  where is the real me  im lost and it kills me  im paralyzed  nf  bipolar borderline depression bpdchat bipolarclub
09-03-2021,amanda_mental,2021-03-09 23:13:28 India Standard Time,it feels so good to go outside in the warmth
07-03-2021,amanda_mental,2021-03-07 08:24:53 India Standard Time,when everyone makes your suicide attempt about them ltltlt bpd bipolar bpdchat borderlinepersonalitydisorder
07-03-2021,amanda_mental,2021-03-07 05:45:23 India Standard Time,hair color is currently blonde with some pink the natural color is dark brown biggest wish is to start controlling my impulses and i have  ear piercings and  tattoos one butterfly and one compass with purple roses
07-03-2021,amanda_mental,2021-03-07 01:44:20 India Standard Time,im usually like ok i have an apt at  pm lemme get this whole weeks worth of things done before
06-03-2021,amanda_mental,2021-03-06 09:32:10 India Standard Time,intrusive thoughts ltltltlt
06-03-2021,amanda_mental,2021-03-06 09:26:58 India Standard Time,texted the tattoo shop with my next tattoo idea superexcited bpdchat bipolarclub
06-03-2021,amanda_mental,2021-03-06 08:56:26 India Standard Time,like will i ever be good enough
06-03-2021,amanda_mental,2021-03-06 08:53:51 India Standard Time,can we please give free proactive mental health treatment
06-03-2021,amanda_mental,2021-03-06 06:19:10 India Standard Time,trying harder at having theses more often xx
06-03-2021,amanda_mental,2021-03-06 00:50:14 India Standard Time,hard to remember in the moment positiveaffrimatnoinans bpd bipolarclub bipolar bpdchat borderlinepersonalitydisorder
04-03-2021,amanda_mental,2021-03-04 07:59:11 India Standard Time,im really thinking about taking a handful of pills
04-03-2021,amanda_mental,2021-03-04 07:35:48 India Standard Time,knowme the one who sleeps with the light on  who is scared of being alone  in the deep dark  in the darkness  know me  the one who took those pills who is tempted to take more  to leave this  horrid world far far behind  poetry mentalhealthpoetry bpd
04-03-2021,amanda_mental,2021-03-04 07:26:01 India Standard Time,figuring out who i am after being misdiagnosed for half of my life has been such a journey bpd bipolar
04-03-2021,amanda_mental,2021-03-04 07:10:27 India Standard Time,please answer
01-03-2021,amanda_mental,2021-03-01 21:25:28 India Standard Time,will the medication help with suicidal thoughts bpd bipolar borderlinepersonalitydisorder
01-03-2021,amanda_mental,2021-03-01 04:45:22 India Standard Time,anyone else experiencing extreme fatigue from medications bpd borderlinepersonalitydisorder bipolar
27-02-2021,amanda_mental,2021-02-27 03:12:55 India Standard Time,im having a really good day
26-02-2021,amanda_mental,2021-02-26 02:13:51 India Standard Time,how could i
25-02-2021,amanda_mental,2021-02-25 03:41:36 India Standard Time,mentalillness borderlinepersonalitydisorder bipolar bpd
25-02-2021,amanda_mental,2021-02-25 01:39:36 India Standard Time,i literally dont do anything so  bpd bipolar borderlinepersonalitydisorder
23-02-2021,amanda_mental,2021-02-23 22:38:44 India Standard Time,i dont need no one else i can sabotage me by myself paramore bpd bipolar
23-02-2021,amanda_mental,2021-02-23 10:03:58 India Standard Time,whenever i bring something up its always i dont remember that or thats not what happened
21-02-2021,amanda_mental,2021-02-21 10:02:40 India Standard Time,i wanna cut so bad i just spent over  that i dont have and i wanna take all my sleeping pills mixedepisode bipolar borderlinepersonalitydisorder
21-02-2021,amanda_mental,2021-02-21 07:52:46 India Standard Time,sharing this to see if anyone is well off enough to donate anything they can retweet with your info to see if anyone can be generous thanks in advanced
21-02-2021,amanda_mental,2021-02-21 07:50:34 India Standard Time,what is medication supposed to do like how will i know im being rightly medicated bpd bipolar
20-02-2021,amanda_mental,2021-02-20 09:59:05 India Standard Time,have i lost my right to privacy bpd bipolar qotd
19-02-2021,amanda_mental,2021-02-19 23:55:48 India Standard Time,i feel like im two different people and i dont know who either of them are and im kinda freaking out mentally because i dont know what to do bpd bipolar borderlinepersonalitydisorder
19-02-2021,amanda_mental,2021-02-19 07:28:00 India Standard Time,my girlfriend doesnt trust me for good reasons but it still sucks bpd bipolar borderlinepersonalitydisorder
18-02-2021,amanda_mental,2021-02-18 09:12:27 India Standard Time,watching crazy ex girlfriend  any thoughts about it bpd netflix
17-02-2021,amanda_mental,2021-02-17 21:58:59 India Standard Time,working that  today wish me luck
16-02-2021,amanda_mental,2021-02-16 02:35:37 India Standard Time,what do you want to ask someone regarding borderlinepersonalitydisorder
14-02-2021,amanda_mental,2021-02-14 07:41:43 India Standard Time,how would you explain bpd to the general public
14-02-2021,amanda_mental,2021-02-14 04:06:44 India Standard Time,i wanna create a study on bpd what do you guys think there needs to be research on bpd research study researchstudy science mentalhealth borderlinepersonalitydisorder
11-02-2021,amanda_mental,2021-02-11 02:18:28 India Standard Time,honestly why most of my negative coping mechanisms come about
11-02-2021,amanda_mental,2021-02-11 00:06:30 India Standard Time,or around a bouts
11-02-2021,amanda_mental,2021-02-11 00:06:14 India Standard Time,anyone following me from new york us
08-02-2021,amanda_mental,2021-02-08 17:18:38 India Standard Time,first day of clinical  so anxious  wish me luck bpd itsokaytonotbeokay bipolar mentalhealth
06-02-2021,amanda_mental,2021-02-06 00:40:18 India Standard Time,meee
03-02-2021,amanda_mental,2021-02-03 00:21:44 India Standard Time,but broccoli be
03-02-2021,amanda_mental,2021-02-03 00:05:32 India Standard Time,wish i had friends bpd bipolar
01-02-2021,amanda_mental,2021-02-01 21:10:45 India Standard Time,enjoy my pupperz prancing through snow dog puppy pets mentalhealth snow
01-02-2021,amanda_mental,2021-02-01 06:50:12 India Standard Time,i feel like my fp dont like me bpd bipolar
31-01-2021,amanda_mental,2021-01-31 21:04:45 India Standard Time,that was my reaction to myself when i was diagnosed lol
31-01-2021,amanda_mental,2021-01-31 07:16:30 India Standard Time,literally was just saying this to my therapist
30-01-2021,amanda_mental,2021-01-30 22:52:27 India Standard Time,my life
29-01-2021,amanda_mental,2021-01-29 04:33:14 India Standard Time,like when i told my brother and confided in him when i was really struggling and he told me everyones struggling its a pandemic and i ended up in the hospital a week or two later because i was suicidal and i got diagnosed as bpd and bipolar no this shit is not normal
29-01-2021,amanda_mental,2021-01-29 01:33:37 India Standard Time,i relate so bad
29-01-2021,amanda_mental,2021-01-29 01:29:25 India Standard Time,made it to the gym in the first time since forever hoping to keep it up exercise mentalhealth motivation bpd bipolar
28-01-2021,amanda_mental,2021-01-28 00:12:45 India Standard Time,so how do i go about following one because it is so hard right now
28-01-2021,amanda_mental,2021-01-28 00:04:52 India Standard Time,do routines and schedules help yall bpd bipolar
27-01-2021,amanda_mental,2021-01-27 22:10:18 India Standard Time,starting vraylar today anyone have any experiences on this med bipolar bpd mentalillness
25-01-2021,amanda_mental,2021-01-25 06:08:44 India Standard Time,i feel so empty
22-01-2021,amanda_mental,2021-01-22 23:51:01 India Standard Time,trust is the hardest thing to gain back any tips
20-01-2021,amanda_mental,2021-01-20 22:09:57 India Standard Time,changing my meds wish me luck bpd bipolar mentalhealth
20-01-2021,amanda_mental,2021-01-20 04:53:18 India Standard Time,facts mentalhealth
18-01-2021,amanda_mental,2021-01-18 07:31:32 India Standard Time,true doe
16-01-2021,amanda_mental,2021-01-16 01:57:13 India Standard Time,just hooked up with my ex
13-01-2021,amanda_mental,2021-01-13 20:11:57 India Standard Time,why are mothers incapable of simply apologizing when something is their fault bpd bipolar depression mentalhealth parenting
13-01-2021,amanda_mental,2021-01-13 04:40:12 India Standard Time,the alternatives are just not as good
12-01-2021,amanda_mental,2021-01-12 10:03:51 India Standard Time,i cant believe i ever thought this was just depression bpd bipolar mentalhealth
11-01-2021,amanda_mental,2021-01-11 21:10:46 India Standard Time,i jump into things way too quick bpd bipolar
10-01-2021,amanda_mental,2021-01-10 04:27:27 India Standard Time,chronic emptiness bpd mentalhealth
08-01-2021,amanda_mental,2021-01-08 03:45:42 India Standard Time,nobody even gives a fuck bpd bipolar suicidal
08-01-2021,amanda_mental,2021-01-08 02:39:26 India Standard Time,im watching a puppy for a few months and im so mad because i wanna kill myself so bad and now is the time and i have this huge responsibility to this dog bpd sh suicidal bipolar mentalhealth
07-01-2021,amanda_mental,2021-01-07 21:13:14 India Standard Time,well my girlfriend broke up with me finally because im a fucking cheater bpd bipolar i wanna die
06-01-2021,amanda_mental,2021-01-06 14:39:57 India Standard Time,i have the worst social anxiety it severely hinders me at events everywhere i go bpd bipolar bpdchat mentalhealth socialanxiety
06-01-2021,amanda_mental,2021-01-06 14:25:05 India Standard Time,didnt ever think about this in terms of myself the spotlight was always on everyone else while i hid away i never realized how traumatic those experiences were even though i wasnt directly involved in them esp now it explains my attention seeking behaviors bpd bipolar
06-01-2021,amanda_mental,2021-01-06 14:17:37 India Standard Time,tw  sh  my arm looks like a checkerboard the guilt and shame hasnt sunk in yet i havent had the urge to do it this much in so long i hope it stops soon bpd bipolar depression mania mentalheath selfharm
06-01-2021,amanda_mental,2021-01-06 07:28:14 India Standard Time,        bpd bipolar depression anxiety mentalhealth
05-01-2021,amanda_mental,2021-01-05 22:04:45 India Standard Time,ive never thought about lighting myself on fire before is this a medication side effect bpdchat bpd bipolar latuda mentalhealth
05-01-2021,amanda_mental,2021-01-05 05:52:14 India Standard Time,i want to hurt myself so bad
05-01-2021,amanda_mental,2021-01-05 04:59:43 India Standard Time,my mania be like
04-01-2021,amanda_mental,2021-01-04 23:14:51 India Standard Time,my therapist was disappointed that i didnt reach out to her before i self harmed but she was on vacation and i didnt wanna bother her she said im never a bother its hard to believe bpd bipolar mentalhealth
04-01-2021,amanda_mental,2021-01-04 23:10:20 India Standard Time,being told im appreciated and will do great in whatever i choose to do in life feels amazing goodmood goodfeels bpd bipolar mondaymotivation mentalhealth
04-01-2021,amanda_mental,2021-01-04 19:26:58 India Standard Time,which celebrities do you think has borderline personality or bipolar disorder bpd bipolar mentalhealth celebrity
04-01-2021,amanda_mental,2021-01-04 01:14:39 India Standard Time,but if you say something negative ill never forget bpd
03-01-2021,amanda_mental,2021-01-03 05:41:29 India Standard Time,understanding af mentalhealth bpd bipolar parenting
03-01-2021,amanda_mental,2021-01-03 05:40:21 India Standard Time,you guys rock  bpd bipolar mentalhealth
03-01-2021,amanda_mental,2021-01-03 04:15:28 India Standard Time,i might be getting a puppy i hope im not thinking maniacally and am thinking through this decision lol bipolar bpd honestly i would love her so much
03-01-2021,amanda_mental,2021-01-03 01:12:59 India Standard Time,im having a hard time separating my actions due to my mental disorder and my who i am actions
03-01-2021,amanda_mental,2021-01-03 01:00:28 India Standard Time,when i was hospitalized for the first time
01-01-2021,amanda_mental,2021-01-01 05:37:55 India Standard Time,comes and goes  bpd bipolar mentalhealth
30-12-2020,amanda_mental,2020-12-30 23:59:18 India Standard Time,i wanna self harm so bad right now bipolar bpd depression
30-12-2020,amanda_mental,2020-12-30 00:44:45 India Standard Time,hate feeling ignored bpd bipolar mentalhealth
29-12-2020,amanda_mental,2020-12-29 01:14:40 India Standard Time,me tho
29-12-2020,amanda_mental,2020-12-29 01:12:09 India Standard Time,trapped                                                       like a vortex                                              a black hole sucking me in                 deeper darker                                            bpd poetry bipolar emotional mentalhealth
29-12-2020,amanda_mental,2020-12-29 01:07:11 India Standard Time,i absolutely hate myself for cutting myself yet seeing the marks makes me just wanna cut again and worse than i did last night its a never ending cycle thats got me trapped selfharm bpd mentalhealth bipolar
29-12-2020,amanda_mental,2020-12-29 01:01:22 India Standard Time,hard to look at it this way
28-12-2020,amanda_mental,2020-12-28 21:20:46 India Standard Time,only always
28-12-2020,amanda_mental,2020-12-28 21:14:12 India Standard Time,any new years resolutions bpd borderlinepersonalitydisorder bipolar mentalhealth
28-12-2020,amanda_mental,2020-12-28 09:53:46 India Standard Time,feeling written off by my girlfriend i was only trying to help  mentalhealth bipolardisorder borderlinepersonalitydisorder
27-12-2020,amanda_mental,2020-12-27 06:31:45 India Standard Time,constant battle of social anxiety and loneliness bpd bipolar anxiety mentalhealthawareness
27-12-2020,amanda_mental,2020-12-27 00:57:31 India Standard Time,suicideprevention mentalhealthawareness
27-12-2020,amanda_mental,2020-12-27 00:44:39 India Standard Time,but you never act like youve done any wrong
26-12-2020,amanda_mental,2020-12-26 00:42:24 India Standard Time,im crazy
25-12-2020,amanda_mental,2020-12-25 23:17:47 India Standard Time,i made it
25-12-2020,amanda_mental,2020-12-25 20:07:47 India Standard Time,and then there were none
25-12-2020,amanda_mental,2020-12-25 01:22:01 India Standard Time,or safe
24-12-2020,amanda_mental,2020-12-24 22:49:25 India Standard Time,christmas is going to be hard i feel such depersonalization while spending time with my family then with my recent events of going to the hospital theyre going to be on such high alert
23-12-2020,amanda_mental,2020-12-23 23:53:59 India Standard Time,feeling like sabotaging myself well fuck
23-12-2020,amanda_mental,2020-12-23 23:12:06 India Standard Time,starting fights to hurt your loved onesltltlt bpd bipolardisorder borderlinepersonalitydisorder
23-12-2020,amanda_mental,2020-12-23 21:34:59 India Standard Time,on point
23-12-2020,amanda_mental,2020-12-23 06:14:34 India Standard Time,just like when youre screaming at your tv screen saying hes behind you
23-12-2020,amanda_mental,2020-12-23 06:13:49 India Standard Time,simple answer for what i am still living for
22-12-2020,amanda_mental,2020-12-22 21:11:24 India Standard Time,what is my purpose today who am i bpd borderlinepersonalitydisorder mentalhealthawareness mentalhealth
22-12-2020,amanda_mental,2020-12-22 20:58:09 India Standard Time,facts
22-12-2020,amanda_mental,2020-12-22 10:05:43 India Standard Time,great job keep going girl
22-12-2020,amanda_mental,2020-12-22 05:39:38 India Standard Time,why does my illness make me feel personally attacked about everything bpd bipolardisorder mentalillness mentalhealthmonday
22-12-2020,amanda_mental,2020-12-22 00:33:36 India Standard Time,im so sick of not socially being considered sick
21-12-2020,amanda_mental,2020-12-21 23:06:34 India Standard Time,
21-12-2020,amanda_mental,2020-12-21 22:50:13 India Standard Time,bipolardisorder bpd mentalawareness mentalhealth
21-12-2020,amanda_mental,2020-12-21 22:49:42 India Standard Time,i should get back to this cause this was a great way to focus my extra maniac energy
21-12-2020,amanda_mental,2020-12-21 22:48:11 India Standard Time,health mentalhealth mentalillness bpd borderlinepersonalitydisorder bipolardisorder depression
21-12-2020,amanda_mental,2020-12-21 22:46:59 India Standard Time,depression mentalhealth
21-12-2020,amanda_mental,2020-12-21 22:37:59 India Standard Time,im gonna use this account to blog about my experiences with my mental illnesses mentalhealth mentalhealthawareness bpd bipolar
18-03-2021,anxietymsgs,2021-03-18 19:46:20 India Standard Time,i need more happy days less problems
17-03-2021,anxietymsgs,2021-03-17 19:38:47 India Standard Time,i said i dont need you i lied
16-03-2021,anxietymsgs,2021-03-16 20:27:24 India Standard Time,i dont ask for much loyalty is enough
15-03-2021,anxietymsgs,2021-03-15 19:50:13 India Standard Time,sleep is the best way to escape feelings
14-03-2021,anxietymsgs,2021-03-14 20:08:29 India Standard Time,its hurting me but nvm
11-03-2021,anxietymsgs,2021-03-11 18:41:21 India Standard Time,please never take advantage of someones trust
11-03-2021,anxietymsgs,2021-03-11 18:41:14 India Standard Time,i want to be that person youre scared to lose
11-03-2021,anxietymsgs,2021-03-11 18:40:41 India Standard Time,gusto mo bang dumami followers mo watch this vlog para sa tips amp advices watch na
10-03-2021,anxietymsgs,2021-03-10 18:55:19 India Standard Time,please never take advantage of someones trust
10-03-2021,anxietymsgs,2021-03-10 18:55:15 India Standard Time,always find someone who will change your life not your status
09-03-2021,anxietymsgs,2021-03-09 20:23:24 India Standard Time,youre special if i lose my sleep for you
08-03-2021,anxietymsgs,2021-03-08 17:40:13 India Standard Time,i really hope this shit ends soon
08-03-2021,anxietymsgs,2021-03-08 17:40:08 India Standard Time,if i care for you i care until the end
07-03-2021,anxietymsgs,2021-03-07 17:27:14 India Standard Time,nothing new still thinking about you
07-03-2021,anxietymsgs,2021-03-07 17:27:08 India Standard Time,i hope youre okay be safe every day
06-03-2021,anxietymsgs,2021-03-06 18:13:13 India Standard Time,i think the worst feeling in the world is feeling alone
06-03-2021,anxietymsgs,2021-03-06 18:13:03 India Standard Time,i hate myself most of the time
